source,target,original_relation,normalized_relation,PubMedID
streptozotocin,glucose intolerance,induces,induces,34325494
dexamethasone,cell mass,may_affect,may_affect,34325494
streptozotocin,cell mass,may_affect,may_affect,34325494
glucocorticoid excess,glucose intolerance,may_cause,may_cause,34325494
HNF4,glucose intolerance,induced_by,induced_by,34325494
brentuximab vedotin,classical Hodgkin lymphoma,may_treat,may_treat,34323643
observational study,brentuximab vedotin,treated with drug,treated with drug,34323643
observational study,overall response rate,has part,has part,34323643
observational study,complete response rate,has part,has part,34323643
observational study,progression-free survival,has part,has part,34323643
observational study,overall survival,has part,has part,34323643
observational study,hematological toxicity,adverse event occurs in,adverse event occurs in,34323643
observational study,neutropenia,adverse event occurs in,adverse event occurs in,34323643
observational study,anemia,adverse event occurs in,adverse event occurs in,34323643
observational study,thrombocytopenia,adverse event occurs in,adverse event occurs in,34323643
observational study,peripheral neuropathy,adverse event occurs in,adverse event occurs in,34323643
phosphatidylinositol3 kinase pathway,head and neck squamous cell carcinoma,involved in,adverse event occurs in,34322775
copanlisib,phosphatidylinositol3 kinase pathway,may_treat,may_treat,34322775
copanlisib,antiegfr monoclonal antibody cetuximab,combined with,drug associated with AE,34322775
copanlisib,hyperglycemia,induces,induces,34322775
pembrolizumab,toxic epidermal necrolysis,drug associated with AE,drug associated with AE,34321417
nonsmall cell lung cancer,toxic epidermal necrolysis,has disease,has disease,34321417
toxic epidermal necrolysis,intravenous immunoglobulin,treated with drug,treated with drug,34321417
pexidartinib,sirolimus,combined with,drug associated with AE,34321280
sirolimus,soft tissue sarcoma,may_treat,may_treat,34321280
sirolimus,colony-stimulating factor 1 receptor,drug associated with AE,drug associated with AE,34321280
sirolimus,tumor-associated macrophage,may_treat,may_treat,34321280
pexidartinib,sarcoma,may_treat,may_treat,34321280
sarcoma,malignant peripheral nerve sheath tumor,part of,part of,34321280
sarcoma,tenosynovial giant cell tumor,part of,part of,34321280
sarcoma,leiomyosarcoma,part of,part of,34321280
activated m2 macrophage,tumor sample,located_in,located_in,34321280
ceritinib,gemcitabine,combination with,drug associated with AE in adolescent,34319586
ceritinib,ALK,associated with,drug associated with AE,34319586
ceritinib,cMET,associated with,drug associated with AE,34319586
ceritinib,JNK,associated with,drug associated with AE,34319586
cholangiocarcinoma,cMET,associated with,drug associated with AE,34319586
paclitaxel,cisplatin,combined with,drug associated with AE,34319435
cisplatin,fluorouracil,combined with,drug associated with AE,34319435
chemotherapy,esophageal squamous cell carcinoma,treated with drug,treated with drug,34319435
surgery,esophageal squamous cell carcinoma,treated with drug,treated with drug,34319435
chemoradiotherapy,esophageal squamous cell carcinoma,treated with drug,treated with drug,34319435
neutropenia,chemotherapy,adverse event occurs in,adverse event occurs in,34319435
leucopenia,chemotherapy,adverse event occurs in,adverse event occurs in,34319435
stomatitis,chemotherapy,adverse event occurs in,adverse event occurs in,34319435
photodynamic therapy,ovarian cancer,treated with drug,treated with drug,34319255
immunotherapy,ovarian cancer,treated with drug,treated with drug,34319255
nanoparticles,photodynamic therapy,may enhance,may enhance,34319255
hernanobody nb,human serum albumin hsa,composed primarily of,composed primarily of,34319255
human serum albumin hsa,chlorin ce6,has part,has part,34319255
human serum albumin hsa,catalase cat,has part,has part,34319255
hernanobody nb,hernanobody nbconjugated human serum albumin hsa,bearer of,bearer of,34319255
hernanobody nbconjugated human serum albumin hsa,chlorin ce6,has part,has part,34319255
hernanobody nbconjugated human serum albumin hsa,catalase cat,has part,has part,34319255
chlorin ce6,human serum albumin hsa,located_in,located_in,34319255
catalase cat,human serum albumin hsa,located_in,located_in,34319255
hypoxia inducible factor1hif1,skov3 cell,induced_by,induced_by,34319255
reactive oxygen specie,skov3 cell,produces,produces,34319255
reactive oxygen specie,apoptosis,induces,induces,34319255
danger-associated molecular pattern damp,immunogenic cell death,is evidence of,is evidence of,34319255
danger-associated molecular pattern damp,maturation of dendritic cell,is evidence of,is evidence of,34319255
hypoxia,skov3 cell,occurs in,occurs in,34319255
hypoxia,tumor tissue,occurs in,occurs in,34319255
tumor tissue,skov3 tumorbearing model,develops_from,develops_from,34319255
t cell,tumor,protects,protects,34319255
idelalisib,immune-related adverse event iraes,drug associated with AE,drug associated with AE,34319205
immune-related adverse event iraes,solid tumor,adverse event occurs in,adverse event occurs in,34319205
immune checkpoint inhibitor-induced iraes,survival outcome,adverse event outcome,adverse event outcome,34319205
grade 3 diarrheacolitis,overall response rate (ORR),drug AE occurs in,drug AE occurs in,34319205
grade 3 diarrheacolitis,progression-free survival (PFS),drug AE occurs in,drug AE occurs in,34319205
alanine/aspartate transaminase (ALT/AST) elevation,overall response rate (ORR),drug AE occurs in,drug AE occurs in,34319205
alanine/aspartate transaminase (ALT/AST) elevation,progression-free survival (PFS),drug AE occurs in,drug AE occurs in,34319205
high-dose methotrexate,blood methotrexate level,may affect,may affect,34319023
high-dose methotrexate,leucovorin rescue,may prevent,may_prevent,34319023
high-dose methotrexate,urine alkalinization,may prevent,may_prevent,34319023
blood methotrexate level,hepatotoxicity,associated with,drug associated with AE,34319023
blood methotrexate level,neutropenia,associated with,drug associated with AE,34319023
chemoradiotherapy,rectal cancer,may_treat,may_treat,34318389
local excision,rectal cancer,may_treat,may_treat,34318389
adjuvant CRT,rectal cancer,may_treat,may_treat,34318389
limited surgery,rectal cancer,may_treat,may_treat,34318389
adenocarcinoma,anal canal cancer,has disease,has disease,34318389
stomatitis,chemoradiotherapy,adverse event occurs in,adverse event occurs in,34318389
diarrhea,chemoradiotherapy,adverse event occurs in,adverse event occurs in,34318389
anal function,chemoradiotherapy,has part,has part,34318389
immune-related adverse event,immune checkpoint inhibitor,treated with drug,treated with drug,34316029
immune-related adverse event,biomarkers,may predict,may predict,34316029
biomarkers,trial,facilitate the conduct of,bearer of,34316029
immune-related adverse event,toxicity,adverse event outcome,adverse event outcome,34316029
mechanism,immune-related adverse event,explains,explains,34316029
strategy,immune-related adverse event,target for,target for,34316029
neoadjuvant everolimus plus letrozole,postmenopausal patient with erpositive hernegative breast cancer,may_treat,may_treat,34315439
chemotherapy,postmenopausal patient with erpositive hernegative breast cancer,may_treat,may_treat,34315439
postmenopausal patient with erpositive hernegative breast cancer,primary tumor,has part,has part,34315439
postmenopausal patient with erpositive hernegative breast cancer,axillary lymph node,has part,has part,34315439
neoadjuvant everolimus plus letrozole,tregs,induces,induces,34315439
neoadjuvant everolimus plus letrozole,pd-l1,produces,produces,34315439
neoadjuvant everolimus plus letrozole,ki67,produces,produces,34315439
neoadjuvant everolimus plus letrozole,tumor-infiltrating tregs,produces,produces,34315439
tumor-specific ctls,neoadjuvant everolimus plus letrozole,realizes,realizes,34315439
nanovesicle delivery system,superparamagnetic iron oxide nanoparticles,coencapsulation of,bearer of,34313109
nanovesicle delivery system,ultrasound contrast agent perfluorohexane,coencapsulation of,bearer of,34313109
nanovesicle delivery system,cisplatin,coencapsulation of,bearer of,34313109
nanovesicle delivery system,silicate-polyaniline vesicle,developed as,developed as,34313109
nanovesicle delivery system,tumor,track tumor engagement of,bearer of,34313109
nanodrug delivery system,tumor cell,existing specific interaction to,connected to,34313104
nanodrug delivery system,drug delivery performance,intelligent stimulus-triggered,intelligent stimulus-triggered,34313104
nanodrug delivery system,cancer therapy,effective for,effective for,34313104
phh2o2 dual-responsive chiral mesoporous silica nanorods,tumor microenvironment,activated by,activated by,34313104
phh2o2 dual-responsive chiral mesoporous silica nanorods,tumor region,increased accumulation in,occurs in,34313104
phh2o2 dual-responsive chiral mesoporous silica nanorods,cd44 receptor-mediated endocytosis,achieve via,achieve via,34313104
phh2o2 dual-responsive chiral mesoporous silica nanorods,antitumor efficacy,exhibited superior,exhibited superior,34313104
cyclodextrin-modified hyaluronic acid conjugate,phh2o2 dual-responsive chiral mesoporous silica nanorods,coating with,drug associated with AE,34313104
cyclodextrin-modified hyaluronic acid conjugate,biocompatibility,improve,improve,34313104
trastuzumab,anthracycline chemotherapy drug,drug associated with AE,drug associated with AE,34312098
neoadjuvant chemotherapy regimen,trastuzumab,may_treat,may_treat,34312098
neoadjuvant chemotherapy regimen,paclitaxel,may_treat,may_treat,34312098
neoadjuvant chemotherapy regimen,fluorouracil,may_treat,may_treat,34312098
neoadjuvant chemotherapy regimen,epirubicin,may_treat,may_treat,34312098
neoadjuvant chemotherapy regimen,cyclophosphamide,may_treat,may_treat,34312098
neoadjuvant chemotherapy regimen,docetaxel,may_treat,may_treat,34312098
neoadjuvant chemotherapy regimen,carboplatin,may_treat,may_treat,34312098
HER breast cancer,neoadjuvant chemotherapy regimen,has disease,has disease,34312098
cardiotoxicity,trastuzumab,drug AE occurs in,drug AE occurs in,34312098
late-onset cardiotoxicity,neoadjuvant chemotherapy regimen,occurs in patient treated with drug,occurs in patient treated with drug,34312098
cardiac event,neoadjuvant chemotherapy regimen,occurs in patient treated with drug,occurs in patient treated with drug,34312098
hypertension,late-onset cardiotoxicity,induced_by,induced_by,34312098
docetaxel,esophageal squamous cell carcinoma,may_treat,may_treat,34311300
paclitaxel,esophageal squamous cell carcinoma,may_treat,may_treat,34311300
docetaxel,fluoropyrimidine,treated with drug,treated with drug,34311300
docetaxel,platinumbased chemotherapy,treated with drug,treated with drug,34311300
paclitaxel,platinumbased chemotherapy,treated with drug,treated with drug,34311300
neutropenia,docetaxel,adverse event occurs in,adverse event occurs in,34311300
leukopenia,docetaxel,adverse event occurs in,adverse event occurs in,34311300
febrile neutropenia,docetaxel,adverse event occurs in,adverse event occurs in,34311300
dextranpolylactide,doxorubicin,composed primarily of,composed primarily of,34310998
dextranpolylactide,NIR dye,composed primarily of,composed primarily of,34310998
dextranpolylactide,dir doxdexpla micelle,composed primarily of,composed primarily of,34310998
dir doxdexpla micelle,tumor,occurs in,occurs in,34310998
dir doxdexpla micelle,mouse model,occurs in,occurs in,34310998
dir doxdexpla micelle,laser irradiation,may_treat,may_treat,34310998
mammalian target of rapamycin,phosphatidylinositol kinaseakt signaling pathway,downstream mediator in,drug associated with AE in adolescent,34310349
temsirolimus,mammalian target of rapamycin,drug associated with,drug associated with AE,34310349
temsirolimus,docetaxel,combination with,drug associated with AE in adolescent,34310349
docetaxel,taxanes,combination with,drug associated with AE in adolescent,34310349
Monoclonal antibody,Breast cancer,may_treat,may_treat,34310275
Monoclonal antibody,Programmed death-ligand 1 (PDL1),inhibits signaling pathway,inhibits signaling pathway,34310275
Monoclonal antibody,Programmed death1 (PD1),inhibits signaling pathway,inhibits signaling pathway,34310275
arsenical drug,acute promyelocytic leukemia,treated with drug,treated with drug,34309925
arsenical drug,solid tumor,may_treat,may_treat,34309925
biocompatible pegylated arsenene nanodots,solid tumor,may_treat,may_treat,34309925
asndspeg,oxidative stress,induces,induces,34309925
asndspeg,valence change of arsenic,induces,induces,34309925
asndspeg,superoxide dismutase activity,induces,induces,34309925
asndspeg,reactive oxygen species production,induces,induces,34309925
asndspeg,mitochondrial damage,induces,induces,34309925
asndspeg,cell cycle arrest,induces,induces,34309925
asndspeg,DNA damage,induces,induces,34309925
asndspeg,elemene,drug associated with AE,drug associated with AE,34309925
asndspeg,photothermal property,realizes,realizes,34309925
head and neck cancer,chemotherapy,may_treat,may_treat,34308772
chemotherapy,cisplatin,drug associated with AE,drug associated with AE,34308772
neoadjuvant chemotherapy,head and neck cancer,may_treat,may_treat,34308772
immune checkpoint inhibitor,metastatic head and neck cancer,may_treat,may_treat,34308772
bevacizumab,platinum-resistant recurrent ovarian cancer,may_treat,may_treat,34308512
bevacizumab,Japan,drug associated with AE in specific location,drug associated with AE,34308512
bevacizumab,paclitaxel,drug associated with AE when administered together,drug associated with AE,34308512
bevacizumab,liposomal doxorubicin,drug associated with AE when administered together,drug associated with AE,34308512
bevacizumab,irinotecan,drug associated with AE when administered together,drug associated with AE,34308512
bevacizumab,neutropenia,adverse event associated with,treated with drug,34308512
bevacizumab,hypertension,adverse event associated with,treated with drug,34308512
bevacizumab,proteinuria,adverse event associated with,treated with drug,34308512
lobaplatin,cisplatin,alternative treatment for,alternative treatment for,34306603
lobaplatin,docetaxel,combined with for induction chemotherapy,treated with drug,34306603
cisplatin,docetaxel,combined with for induction chemotherapy,treated with drug,34306603
lobaplatin,intensity-modulated radiotherapy,combined with for treatment,treated with drug,34306603
glucose,lobaplatin,administered with,drug associated with AE in adolescent,34306603
lobaplatin,blood routine,affects,affects,34306603
lobaplatin,liver function test,affects,affects,34306603
lobaplatin,kidney function test,affects,affects,34306603
lobaplatin,proliferation of cancer cell,inhibitory effect on,inhibitory effect on,34306603
oncocardiology,cardiovascular injury,linked to,anteriorly connected to,34305102
cancer,cardiovascular injury,linked to,anteriorly connected to,34305102
cardiac injury,mechanism,helps improve,helps improve,34305102
adverse reaction,cancer treatment,related to,anteriorly connected to,34305102
adverse reaction,cardiovascular event,may occur in,adverse event occurs in,34305102
cancer treatment,cardiovascular toxicity,found to have,anteriorly connected to,34305102
cardiovascular toxicity,heart failure,may lead to,anteriorly connected to,34305102
cardiovascular toxicity,hypertension,may lead to,anteriorly connected to,34305102
cardiovascular toxicity,coronary heart disease,may lead to,anteriorly connected to,34305102
cardiovascular toxicity,arrhythmia,may lead to,anteriorly connected to,34305102
cardiovascular toxicity,thromboembolism,may lead to,anteriorly connected to,34305102
prevention,cvds,helps guide,helps guide,34305102
diagnosis,cvds,helps guide,helps guide,34305102
treatment,cvds,helps guide,helps guide,34305102
sarcoma patient,DDI,occurs in,occurs in,34304283
sarcoma patient,antitumor treatment,may_treat,may_treat,34304283
pharmacist,medication reconciliation,performed,performed,34304283
sarcoma patient,complementary medicine,uses,uses,34304283
antitumor treatment,DDI,may_cause,may_cause,34304283
sarcoma patient,proton pump inhibitor,associated with,drug associated with AE,34304283
sarcoma patient,antidepressant,associated with,drug associated with AE,34304283
pharmacist,medication reconciliation,performed,performed,34304283
pharmacist,intervention,made,made,34304283
acquired resistance to tki,egfr mutated lung cancer,may_treat,may_treat,34303276
egfr mutated lung cancer,combination approach with vegf inhibitor check point inhibitor immunotherapy and platinumbased chemotherapy,may_treat,may_treat,34303276
modified regimen,egfr mutated cohort,may_treat,may_treat,34303276
openlabelled single arm phase ii study,patient with egfr mutated nsclc,may_treat,may_treat,34303276
patient with egfr mutated nsclc,combination atezolizumab 1200 mg bevacizumab mgkg pemetrexed 500 mgm2 and carboplatin auc 5,treated with drug,treated with drug,34303276
patient with egfr mutated nsclc,forty patient,is count of,is count of,34303276
patient with egfr mutated nsclc,median age,has part,has part,34303276
progressed on osimertinib,radiological progression on osimertinib,develops_from,develops_from,34303276
treatment related grade 3 or above adverse event ae,immunerelated ae,drug AE occurs in,drug AE occurs in,34303276
quality of life measure of function and symptom,treatment related grade 3 or above adverse event ae,adverse event outcome,adverse event outcome,34303276
posttrial rechallenge with egfr tki containing regimen,pfs of month,may_treat,may_treat,34303276
combination approach of atezolizumab bevacizumab pemetrexed and carboplatin,metastatic egfr mutated nsclc after tki failure,may_treat,may_treat,34303276
combination approach of atezolizumab bevacizumab pemetrexed and carboplatin,taxane based regimen of impower150,is evidence of,is evidence of,34303276
combination approach of atezolizumab bevacizumab pemetrexed and carboplatin,toxicity profile,protects,protects,34303276
trastuzumabpertuzumab,eribulin mesylate,treated with drug,treated with drug,34302589
metastatic breast cancer,HP,occurs in,occurs in,34302589
eribulin mesylate,HP,treated with drug,treated with drug,34302589
HP,pertuzumab,connected to,connected to,34302589
tumor DNA,germline DNA,located_in,located_in,34302589
TP53,patient without clinical benefit,may_diagnose,may_diagnose,34302589
ceralasertib,carboplatin,combined with,drug associated with AE,34301752
ceralasertib,anemia,induced adverse event,induced adverse event,34301752
ceralasertib,thrombocytopenia,induced adverse event,induced adverse event,34301752
ceralasertib,neutropenia,induced adverse event,induced adverse event,34301752
ceralasertib,prad,upregulation indicative of,bearer of,34301752
prad,ataxia telangiectasia mutated,indicates activation of,bearer of,34301752
ceralasertib,partial response,outcome of treatment,bearer of,34301752
ceralasertib,stable disease,outcome of treatment,bearer of,34301752
ex21l858r mutation,ex19del mutation,mutation subtype impact treatment outcome,adverse event outcome,34301751
egfrmutated metastatic nonsmall cell lung cancer,relay study,investigated in,adverse event occurs in,34301751
relay study,ramucirumab,treated with drug,treated with drug,34301751
relay study,erlotinib,treated with drug,treated with drug,34301751
relay study,placebo,treated with drug,treated with drug,34301751
ex19del mutation,tp53 comutation,associated with superior outcome,treated with drug,34301751
ex21l858r mutation,tp53 comutation,associated with superior outcome,treated with drug,34301751
relay study,egfr t790m mutation,similar rate at progression,similar rate at progression,34301751
alrn6924,p53,disrupts inhibition by,disrupts inhibition by,34301750
alrn6924,mdm2,disrupts inhibition by,disrupts inhibition by,34301750
alrn6924,mdmx,disrupts inhibition by,disrupts inhibition by,34301750
alrn6924,solid tumor,treated in patient with,drug associated with AE in adolescent,34301750
alrn6924,lymphoma,treated in patient with,drug associated with AE in adolescent,34301750
alrn6924,mic,increased serum level of,bearer of,34301750
alrn6924,gastrointestinal side effect,causes,causes,34301750
alrn6924,fatigue,causes,causes,34301750
alrn6924,anemia,causes,causes,34301750
alrn6924,headache,causes,causes,34301750
alrn6924,hypotension,causes,causes,34301750
alrn6924,alkaline phosphatase elevation,causes,causes,34301750
alrn6924,neutropenia,causes,causes,34301750
alrn6924,thrombocytopenia,causes,causes,34301750
alrn6924,infusion-related reaction,causes,causes,34301750
alrn6924,complete response,associated with,drug associated with AE,34301750
alrn6924,partial response,associated with,drug associated with AE,34301750
alrn6924,stable disease,associated with,drug associated with AE,34301750
alrn6924,recommended phase 2 dose,determined as,determined as,34301750
alrn6924,antitumor activity,demonstrated by,demonstrated by,34301750
locally advanced vulvar cancer,chemoradiation,may_treat,may_treat,34301412
locally advanced vulvar cancer,surgery,may_prevent,may_prevent,34301412
patient,chemotherapy,treated with drug,treated with drug,34301412
patient,radiotherapy,treated with drug,treated with drug,34301412
chemotherapy,capecitabine,drug associated with AE,drug associated with AE,34301412
toxicity,radiotherapy,occurs in patient treated with drug,occurs in patient treated with drug,34301412
toxicity,chemotherapy,occurs in patient treated with drug,occurs in patient treated with drug,34301412
survival,chemoradiation,realizes,realizes,34301412
bevacizumab,vascular endothelial growth factor,drug associated with,drug associated with AE,34299401
vascular endothelial growth factor,angiogenesis,involved in,adverse event occurs in,34299401
pathologic angiogenesis,ophthalmic disorder,occurs in,occurs in,34299401
pathologic angiogenesis,cancer,occurs in,occurs in,34299401
controlled release system,bevacizumab,may_treat,may_treat,34299401
controlled release system,modification of drug pharmacokinetics,may_prevent,may_prevent,34299401
organic nanoparticles,physicochemical characterization,example of usage,example of usage,34299401
